"Input","Target"
" what movies can be described by movie to see hd","	28 Weeks Later, Death Proof, Dawn of the Dead, The Holiday, Identity, 30 Days of Night, Letters from Iwo Jima, Army of Darkness, Accepted, Australia, Repo Men, Babylon A.D., Be Kind Rewind, Doomsday, Awake, Death Sentence, Fallen, Brooklyn's Finest, Black Snake Moan, Brotherhood of the Wolf, Animal Kingdom, A Man Apart, Flyboys, Cradle 2 the Grave, Adam, Leatherheads, Flash of Genius, The Final Season"
" what movies can be described by carnival","	Big, The Cabinet of Dr. Caligari, Carnival of Souls, Something Wicked This Way Comes, Splinterheads, Waxworks, Gorilla at Large, The Shadow of the Eagle"
" what movies are about erotomania","	He Loves Me... He Loves Me Not"
" what movies are about disillusionment","	Revolutionary Road, Michael Clayton, Serpico, Primary Colors, Art School Confidential"
" what films are about armie hammer","	The Social Network, The Lone Ranger"
" what films are about karel reisz","	The French Lieutenant's Woman, Saturday Night and Sunday Morning, Sweet Dreams, The Gambler, Who'll Stop the Rain, Isadora"
" what films are about mark duplass","	Jeff, Who Lives at Home, Cyrus, The One I Love, The Puffy Chair"
" what films are about no character development","	Thor, The Monuments Men, Go, The Shadow"
" what movies can be described by writer","	The Shining, The Help, Almost Famous, Finding Neverland, Sideways, Secret Window, The Ghost Writer, Misery, Sinister, The Book Thief, The Raven, Runaway Bride, Letters to Juliet, Romancing the Stone, Wonder Boys, Kalifornia, Sleuth, Whisper of the Heart, The Lost Weekend, Running with Scissors, Third Person, Mansfield Park, Betty Blue, Girl Most Likely, La Notte, Kika, Winter Passing, Dedication, I Shot Andy Warhol, The Bat, The Sheik, Girl Shy, Matango, House by the River, Cross Creek, Welcome Back, Mr. McDonald, Waxworks, The Treasure Hunter"
" which films are about extremely gory","	Pulp Fiction, Ninja Assassin"
" what movies can be described with cedric yarbrough","	The 40-Year-Old Virgin, Meet the Fockers, Get Smart, Four Christmases"
" what movies can be described by wuxia","	Crouching Tiger, Hidden Dragon, Seven Samurai, Hero, Kung Fu Hustle, House of Flying Daggers, Fearless, Brotherhood of the Wolf, Fist of Legend, Once Upon a Time in China, Iron Monkey, Once Upon a Time in China II, A Chinese Ghost Story, Once Upon a Time in China III, A Touch of Zen, The Bride with White Hair, Come Drink with Me"
" what movies can be described with sentient dog","	A Boy and His Dog, Baxter"
" what films are about switzerland","	The Sound of Music, On Her Majesty's Secret Service, North Face"
" which films can be described by colourful","	Pulp Fiction, V for Vendetta, Eternal Sunshine of the Spotless Mind, Spirited Away, Big Fish, Source Code, The Wizard of Oz, Moulin Rouge!, Crouching Tiger, Hidden Dragon, Romeo + Juliet, Hero, Chocolat, Spring Breakers, Girl with a Pearl Earring, Speed Racer, Everything Is Illuminated, Rent, Enter the Void, Down with Love, Monsoon Wedding"
" which films are about dreamworks animation","	Shrek, How to Train Your Dragon, Shrek 2, Over the Hedge, Antz"
" what films can be described by wild and fresh","	Wild at Heart"
" which movies are about mass behavior","	The Wrestler, The Experiment"
" which movies are about makes you cry","	American History X, Man on Fire, Antwone Fisher"
" what movies can be described with weird al","	UHF"
" what films are about toons","	Space Jam"
" what films can be described by setting:golf course","	Happy Gilmore, Caddyshack"
" what films can be described by fight scene","	The Avengers, Eastern Promises, The Raid 2"
" what films can be described by nightmare","	Planet of the Apes, A Nightmare on Elm Street, Bringing Out the Dead, Inland Empire, Cat's Eye"
" which films can be described by puzzling","	The Prestige, National Treasure, Magnolia, The Ring, The Crying Game, Southland Tales, Fermat's Room"
" which movies are about nascar","	Days of Thunder"
" what movies are about kevin pollak","	The Usual Suspects, A Few Good Men, Cop Out, Deterrence"
" what films can be described by hipster","	Pulp Fiction, The Grand Budapest Hotel, High Fidelity, Ghost World, Rent, Frank"
" what films are about to see: comedy","	Monty Python and the Holy Grail, Burn After Reading, The Sweetest Thing, Chaos Theory, Loser, Johnny Dangerously, Kamikaze Girls, Just Buried, Ninja Cheerleaders, Two Men Went to War"
" what movies can be described with flag-raising photograph","	Flags of Our Fathers"
" what movies can be described with have but not seen","	Drunken Angel, À Nous la Liberté"
" which films are about confusing plot","	Inception, Ocean's Twelve, Jackie Brown, Tinker Tailor Soldier Spy, The Black Dahlia, Boy A, Thirteen Conversations About One Thing, Forty Guns"
" which movies are about nature strikes back","	Frogs, The Food of the Gods, Day of the Animals"
" which movies can be described by informative","	Super Size Me, Food, Inc., The Corporation, Freakonomics, Between the Folds"
" what movies are about deutsch","	The Lives of Others, Downfall, Das Boot, Wings of Desire"
" which films can be described by chinese propaganda","	Ip Man"
" what movies can be described by not very coen-y","	True Grit"
" what films can be described by rodrigo garcía","	Mother and Child, Nine Lives, Last Days in the Desert"
" which films are about donald sutherland","	The Italian Job, Cold Mountain, Reign Over Me, Space Cowboys, Fool's Gold, MASH, The Eagle, Invasion of the Body Snatchers, Ordinary People, Kelly's Heroes, Don't Look Now, Buffy the Vampire Slayer, Six Degrees of Separation, Klute, The Eagle Has Landed, Johnny Got His Gun, Coming Home, The Assignment, Panic, Without Limits, Land of the Blind, Path to War, Alex in Wonderland"
" which films are about all ages","	The Princess Bride, The Simpsons Movie, The Nightmare Before Christmas"
" what movies can be described with toplist07","	No Country for Old Men, The Bourne Ultimatum, Juno, Into the Wild, There Will Be Blood, American Gangster, Zodiac, The Simpsons Movie, 28 Weeks Later, Eastern Promises, Atonement, Gone Baby Gone, Enchanted, Michael Clayton, The Darjeeling Limited, Lars and the Real Girl, The Diving Bell and the Butterfly, Charlie Wilson's War, Once, The Kite Runner, Persepolis, Sicko, The Lookout, 4 Months, 3 Weeks and 2 Days, Lust, Caution, Away from Her"
" which films can be described by robert carlyle","	Trainspotting, 28 Weeks Later, The World Is Not Enough, Eragon, The Full Monty, Priest, Flood"
" what films are about americans save the world","	Independence Day, Armageddon, Reign of Fire, Born to Raise Hell"
" which films can be described by mf","	The Matrix, Charlie's Angels"
" which films can be described by james l. brooks","	As Good as It Gets, Spanglish, Terms of Endearment, Broadcast News, I'll Do Anything"
" what films are about genndy tartakovsky","	Hotel Transylvania"
" which movies are about extraordinary","	Slumdog Millionaire, Synecdoche, New York, The Tin Drum, What's Love Got to Do with It"
" what films can be described by afi 10 (courtroom drama)","	12 Angry Men, To Kill a Mockingbird, A Few Good Men, Witness for the Prosecution, Anatomy of a Murder, Judgment at Nuremberg"
" what films can be described by bill melendez","	A Charlie Brown Christmas, It's the Great Pumpkin, Charlie Brown, A Boy Named Charlie Brown"
" what films can be described by playful","	Rise of the Guardians, Raging Phoenix"
" which films can be described by emma bell","	Final Destination 5, Frozen"
" which films are about segregation","	The Hunger Games, District 9, The Help, Hairspray, Driving Miss Daisy, 42, The Great Debaters, Red Tails, Something the Lord Made, Introducing Dorothy Dandridge, Endgame, Black Butterflies, Sarafina!, Prom Night in Mississippi, Drum"
" which movies can be described by dean deblois","	How to Train Your Dragon, How to Train Your Dragon 2"
" what films can be described by steven seagal","	Machete, Under Siege, Executive Decision, Exit Wounds, Above the Law, Hard to Kill, On Deadly Ground, Out for Justice, The Glimmer Man, Marked for Death, The Onion Movie, Fire Down Below, Half Past Dead, Urban Justice, Against the Dark, Submerged, Pistol Whipped, Attack Force, Today You Die, Mercenary for Justice, Shadow Man, Flight of Fury, Black Dawn, Born to Raise Hell"
" what movies can be described by romanian poverty","	Beyond the Hills"
" what movies are about roger allers","	The Lion King, Open Season"
" what films can be described by danny kaye","	White Christmas, The Court Jester, The Secret Life of Walter Mitty, Hans Christian Andersen, The Inspector General, A Song Is Born, Wonder Man, The Five Pennies, The Kid from Brooklyn, Knock on Wood, Up in Arms, On the Riviera, Me and the Colonel, On the Double, Skokie"
" which movies can be described by prejudice","	300, 12 Angry Men, Chocolat, Mad Max Beyond Thunderdome, Show Me Love, Guess Who's Coming to Dinner, Walk on Water, When Animals Dream"
" which movies can be described by musical sucks.","	Chicago, The Producers"
" what movies can be described by without romance","	Jack Reacher"
" what films are about ambiguous ending","	Inception, Shutter Island, No Country for Old Men, Pan's Labyrinth, In Bruges, My Fair Lady, After.Life, Pusher, Alien Raiders, The Banquet"
" which films can be described by armin rohde","	Life is All You Get"
" which movies can be described by armenian","	Catch-22, Ararat"
" which films can be described by reformation","	Luther"
" which movies can be described by seen part of","	The Hurt Locker, The Fugitive, Ransom, Wag the Dog, Much Ado About Nothing, Sleepwalkers"
" what movies are about istanbul","	Skyfall, Argo, Taken 2, Midnight Express"
" what films are about homoerotic","	300"
" what movies can be described with horrorklassiker","	Phantasm, The Howling, Piranha"
" which films are about orlando bloom","	Troy, Black Hawk Down, Kingdom of Heaven, The Three Musketeers, Elizabethtown, New York, I Love You, Ned Kelly"
" what movies are about amount of destruction","	2012"
" which films can be described by vanessa l. williams","	Eraser, The Adventures of Elmo in Grouchland"
" what movies can be described with bride","	The Princess Bride, The Crow, The Bride Wore Black, The Syrian Bride"
" which films are about mia sara","	Timecop, Legend"
" which films can be described by knives","	V for Vendetta, 12 Angry Men, Machete, Severance, Freaks, Bandidas"
" what films are about to be continued","	Back to the Future, Back to the Future Part II, The Maze Runner, Machete, Conan the Barbarian, Evil Dead II, Push"
" what movies can be described with psychopathy","	The Silence of the Lambs, Gone Girl, Killers"
" which movies are about investigative journalism","	Zodiac, The Girl with the Dragon Tattoo, Sinister, Food, Inc."
" which films are about out for revenge","	Unforgiven, Misery, Straw Dogs, The Salton Sea, The Limey, The Virgin Spring, Dark Passage, Foxy Brown, Drowning by Numbers, The Magician"
" which movies can be described by incompetent cops","	Die Hard"
" which movies can be described by jamie's dad's favourites","	Cinema Paradiso, Miracle on 34th Street, The Chosen"
" which films are about stepfather","	Pan's Labyrinth, Shaun of the Dead, Barry Lyndon, Fanny and Alexander, Evil"
" what movies can be described by author:h. g. wells","	War of the Worlds, The Island of Dr. Moreau, The Time Machine, The War of the Worlds, The Invisible Man, Island of Lost Souls, Terror Is a Man, Dr. Moreau's House of Pain, The Twilight People"
" which movies can be described by stellan skarsgÃ¥rd","	Mamma Mia!, Deep Blue Sea"
" what movies can be described with destruction of the nuclear family's model","	Dogtooth"
" what movies can be described with carlos saldanha","	Ice Age, Rio, Robots, Rio 2"
" what movies can be described with hilariously bad","	Scary Movie, Clue"
" what movies are about gun control","	Bowling for Columbine, Runaway Jury, American Gun"
" which films can be described by nursing home","	The Notebook, Fried Green Tomatoes, Son of Rambow, Away from Her, Harvie Krumpet, Wrinkles, Not Here to Be Loved"
" which films are about nyctophobia","	Session 9"
" which movies are about gary ross","	The Hunger Games, Pleasantville"
" which movies are about bechdel test:pass (technically but not really)","	Star Trek, Salt, State of Play, The Third Man, Rebecca, Laura, Operation Petticoat, A Letter to Three Wives"
" which movies can be described by contamination","	The Crazies"
" what movies can be described by elder care","	Win Win"
" what movies can be described with resilience","	Cool Hand Luke, The Kids Are All Right, Winter's Bone"
" which films are about anti-military","	White House Down, Hamburger Hill"
" what movies can be described by dennis hopper","	Apocalypse Now, Speed, True Romance, Waterworld, Blue Velvet, Easy Rider, Super Mario Bros., Hoosiers, The Texas Chainsaw Massacre 2, Red Rock West, Hell Ride, River's Edge, The Sons of Katie Elder, Flashback, Meet the Deedles, Out of the Blue"
